2.2595 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
44.5659 	DATA 	Keypress: space
44.7867 	DATA 	Keypress: space
45.0134 	DATA 	Keypress: space
45.2290 	DATA 	Keypress: space
45.4346 	DATA 	Keypress: space
45.6238 	DATA 	Keypress: space
45.8279 	DATA 	Keypress: space
46.0489 	DATA 	Keypress: space
46.2343 	DATA 	Keypress: space
46.4335 	DATA 	Keypress: space
46.6494 	DATA 	Keypress: space
46.6577 	EXP 	text_instruct: autoDraw = False
46.8373 	DATA 	Keypress: space
47.0428 	DATA 	Keypress: space
49.6601 	EXP 	Imported Cond2_Resting_EEG_trials.xlsx as conditions, 8 conditions, 2 params
49.6608 	EXP 	Created sequence: sequential, trialTypes=8, nReps=1, seed=None
49.6611 	EXP 	New trial (rep=0, index=0): {'Anweisung': 'audio\\auf.wav', 'Instruction_trials': 'Instruction_close.wav'}
49.6661 	EXP 	fixation_cross: autoDraw = True
112.6527 	EXP 	New trial (rep=0, index=1): {'Anweisung': 'audio\\zu.wav', 'Instruction_trials': 'Instruction_open.wav'}
112.6595 	EXP 	fixation_cross: autoDraw = False
112.6595 	EXP 	fixation_cross: autoDraw = False
112.6595 	EXP 	fixation_cross: autoDraw = True
175.6457 	EXP 	New trial (rep=0, index=2): {'Anweisung': 'audio\\zu_lassen.wav', 'Instruction_trials': 'Instruction_leave_open.wav'}
175.6507 	EXP 	fixation_cross: autoDraw = False
175.6507 	EXP 	fixation_cross: autoDraw = False
175.6507 	EXP 	fixation_cross: autoDraw = True
238.6364 	EXP 	New trial (rep=0, index=3): {'Anweisung': 'audio\\auf.wav', 'Instruction_trials': 'Instruction_close.wav'}
238.6411 	EXP 	fixation_cross: autoDraw = False
238.6411 	EXP 	fixation_cross: autoDraw = False
238.6411 	EXP 	fixation_cross: autoDraw = True
301.6270 	EXP 	New trial (rep=0, index=4): {'Anweisung': 'audio\\zu.wav', 'Instruction_trials': 'Instruction_open.wav'}
301.6322 	EXP 	fixation_cross: autoDraw = False
301.6322 	EXP 	fixation_cross: autoDraw = False
301.6322 	EXP 	fixation_cross: autoDraw = True
364.6172 	EXP 	New trial (rep=0, index=5): {'Anweisung': 'audio\\auf.wav', 'Instruction_trials': 'Instruction_close.wav'}
364.6233 	EXP 	fixation_cross: autoDraw = False
364.6233 	EXP 	fixation_cross: autoDraw = False
364.6233 	EXP 	fixation_cross: autoDraw = True
427.6110 	EXP 	New trial (rep=0, index=6): {'Anweisung': 'audio\\auf_lassen.wav', 'Instruction_trials': 'Instruction_leave_closed.wav'}
427.6267 	EXP 	fixation_cross: autoDraw = False
427.6267 	EXP 	fixation_cross: autoDraw = False
427.6267 	EXP 	fixation_cross: autoDraw = True
490.6121 	EXP 	New trial (rep=0, index=7): {'Anweisung': 'audio\\zu.wav', 'Instruction_trials': 'Instruction_open.wav'}
490.6174 	EXP 	fixation_cross: autoDraw = False
490.6174 	EXP 	fixation_cross: autoDraw = False
490.6174 	EXP 	fixation_cross: autoDraw = True
553.6131 	EXP 	fixation_cross: autoDraw = False
553.6131 	EXP 	fixation_cross: autoDraw = False
556.7051 	EXP 	window1: mouseVisible = True
